tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
499,2019-01-01T13:35:36Z,2019-01-01T13:43:56Z,388,W 26 St & 10 Ave,40.749717753,-74.002950346,3660,W 16 St & 8 Ave,40.741021509002664,-74.001384973526,34367,Subscriber,1994,2
968,2019-01-01T13:35:54Z,2019-01-01T13:52:03Z,376,John St & William St,40.70862144,-74.00722156,303,Mercer St & Spring St,40.72362738,-73.99949601,14541,Customer,1988,2
1291,2019-01-01T13:35:39Z,2019-01-01T13:57:10Z,309,Murray St & West St,40.7149787,-74.013012,127,Barrow St & Hudson St,40.73172428,-74.00674436,21612,Customer,1969,0
462,2019-01-01T13:35:45Z,2019-01-01T13:43:27Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,25198,Subscriber,1988,2
664,2019-01-01T13:35:43Z,2019-01-01T13:46:48Z,3486,Schermerhorn St & Bond St,40.688417427540834,-73.98451656103134,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,30877,Subscriber,1993,2
1890,2019-01-01T13:35:44Z,2019-01-01T14:07:14Z,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,30027,Customer,1969,0
1591,2019-01-01T13:35:47Z,2019-01-01T14:02:18Z,3511,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,25526,Customer,1969,0
1225,2019-01-01T13:35:51Z,2019-01-01T13:56:16Z,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,32156,Customer,1987,2
769,2019-01-01T13:35:55Z,2019-01-01T13:48:44Z,3106,Driggs Ave & N Henry St,40.72325,-73.94308,3085,Roebling St & N 4 St,40.71469,-73.95739,27247,Customer,1969,0
890,2019-01-01T13:35:57Z,2019-01-01T13:50:47Z,3578,Park Pl & Franklin Ave,40.6741806,-73.9564947,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,33900,Subscriber,1990,1
